Rk,Player,Tm,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed
167,Lonzo Ball\balllo01,LAL,"$7,461,960 ","$8,719,320 ","$11,003,782 ",,,,1st Round Pick,"$16,181,280 "
168,Doug McDermott\mcderdo01,IND,"$7,333,334 ","$7,333,334 ","$7,333,333 ",,,,,"$22,000,001 "
169,Jae Crowder\crowdja01,UTA,"$7,305,825 ","$7,815,533 ",,,,,Bird Rights,"$15,121,358 "
170,Marvin Bagley\baglema01,SAC,"$7,305,600 ","$8,556,120 ","$8,963,640 ","$11,312,114 ",,,1st Round Pick,"$15,861,720 "
171,D.J. Augustin\augusdj01,ORL,"$7,250,000 ","$7,250,000 ",,,,,Cap Space,"$14,500,000 "
172,Dewayne Dedmon\dedmode01,ATL,"$7,200,000 ",,,,,,Cap space,"$7,200,000 "
173,Lance Thomas\thomala01,NYK,"$7,119,650 ","$7,583,975 ",,,,,Cap Space,"$8,119,650 "
174,D'Angelo Russell\russeda01,BRK,"$7,019,698 ",,,,,,1st round pick,"$7,019,698 "
175,Langston Galloway\gallola01,DET,"$7,000,000 ","$7,333,333 ",,,,,MLE,"$14,333,333 "
176,Davis Bertans\bertada01,SAS,"$7,000,000 ","$7,000,000 ",,,,,Early Bird Rights,"$14,000,000 "
177,Ersan Ilyasova\ilyaser01,MIL,"$7,000,000 ","$7,000,000 ","$7,000,000 ",,,,MLE,"$14,000,000 "
178,Boban Marjanovic\marjabo01,PHI,"$7,000,000 ",,,,,,Cap Space,"$7,000,000 "
179,Al-Farouq Aminu\aminual01,POR,"$6,957,105 ",,,,,,Cap Space,"$6,957,105 "
180,Jayson Tatum\tatumja01,BOS,"$6,700,800 ","$7,830,000 ","$9,897,120 ",,,,1st Round Pick,"$14,530,800 "
181,Luka Doncic\doncilu01,DAL,"$6,560,640 ","$7,683,360 ","$8,049,360 ","$10,174,391 ",,,1st Round Pick,"$14,244,000 "
182,Nemanja Bjelica\bjeline01,SAC,"$6,500,000 ","$6,825,000 ","$7,150,000 ",,,,,"$13,325,000 "
183,Mario Hezonja\hezonma01,NYK,"$6,500,000 ",,,,,,MLE,"$6,500,000 "
184,Ben Simmons\simmobe01,PHI,"$6,434,520 ","$8,113,930 ",,,,,1st Round pick,"$14,548,450 "
185,Milos Teodosic\teodomi01,LAC,"$6,300,000 ",,,,,,,"$6,300,000 "
186,Wayne Ellington\ellinwa01,PHO,"$6,270,000 ",,,,,,,"$6,270,000 "
187,Marco Belinelli\belinma01,SAS,"$6,153,846 ","$5,846,154 ",,,,,MLE,"$12,000,000 "
188,Wesley Johnson\johnswe01,WAS,"$6,134,520 ",,,,,,,"$6,134,520 "
189,Josh Jackson\jacksjo02,PHO,"$6,041,520 ","$7,059,480 ","$8,930,242 ",,,,1st Round Pick,"$13,101,000 "
190,Montrezl Harrell\harremo01,LAC,"$6,000,000 ","$6,000,000 ",,,,,,"$12,000,000 "
191,Jonathon Simmons\simmojo02,PHI,"$6,000,000 ","$5,700,000 ",,,,,Cap space,"$7,000,000 "
192,Ish Smith\smithis01,DET,"$6,000,000 ",,,,,,Cap Space,"$6,000,000 "
193,Jaren Jackson\jacksja02,MEM,"$5,915,040 ","$6,927,480 ","$7,257,360 ","$9,180,560 ",,,1st Round Pick,"$12,842,520 "
194,Brandon Ingram\ingrabr01,LAL,"$5,757,120 ","$7,265,485 ",,,,,1st Round pick,"$13,022,605 "
195,Anthony Tolliver\tollian01,MIN,"$5,750,000 ",,,,,,MLE,"$5,750,000 "
196,Kristaps Porzingis\porzikr01,DAL,"$5,697,054 ",,,,,,1st round pick,"$5,697,054 "
197,Deron Williams\willide01,BRK,"$5,474,787 ","$5,474,787 ",,,,,,"$10,949,574 "
198,De'Aaron Fox\foxde01,SAC,"$5,470,920 ","$6,392,760 ","$8,099,627 ",,,,1st Round Pick,"$11,863,680 "
199,Ben McLemore\mclembe01,SAC,"$5,460,000 ",,,,,,,"$5,460,000 "
200,Alex Abrines\abrinal01,OKC,"$5,455,236 ",,,,,,,"$5,455,236 "
